"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STATUS"
"ENSG00000112139.14",600.9253977619,-1.46430510255654,0.172148078603191,-8.50607868782451,1.79914879044084e-17,4.72996217006897e-15,"Down"
"ENSG00000091409.14",1071.94570350398,-1.64110158031551,0.194444805717524,-8.43993530328389,3.17513359805534e-17,8.21058317634836e-15,"Down"
"ENSG00000116711.9",492.732440816095,-1.97618596384317,0.235536571893642,-8.39014488474229,4.85543418075656e-17,1.2353164317299e-14,"Down"
"ENSG00000175756.13",845.414944247324,1.19248993067886,0.142242294961894,8.38351160601227,5.13716090828752e-17,1.28624724075123e-14,"Up"
"ENSG00000165138.16",3106.04206439439,-1.11738009272313,0.133835646613795,-8.34889747981358,6.89031119106408e-17,1.69824638637258e-14,"Down"
"ENSG00000136732.14",87.2378793936428,-1.84124479274408,0.220784283476989,-8.33956459104561,7.45645780548699e-17,1.80951023728849e-14,"Down"
"ENSG00000116133.11",25716.2927801554,1.36216044589233,0.163590321999248,8.32665667042698,8.31574658397139e-17,1.98746343356916e-14,"Up"
"ENSG00000234323.5",35.0322765898409,-5.51748892963022,0.663414149785004,-8.31680923811816,9.03630179508655e-17,2.12744215695068e-14,"Down"
"ENSG00000215788.9",158.177545700291,1.30198727692234,0.159820999714118,8.1465344307149,3.74502156377428e-16,8.68734855102581e-14,"Up"
"ENSG00000160408.14",1662.96408836308,-0.77317683410803,0.0956186202656787,-8.08604884655038,6.16314768363275e-16,1.408949153067e-13,"Not Sig"
"ENSG00000116237.15",3597.85382174755,0.981350399845803,0.121948728963315,8.0472376234525,8.46836628752396e-16,1.9082858545629e-13,"Not Sig"
"ENSG00000136813.14",5248.10263923505,-0.585847450354075,0.0730488845100751,-8.01993698169714,1.05799430342701e-15,2.35053551299404e-13,"Not Sig"
"ENSG00000188938.15",1030.12830902715,-0.715095997763789,0.0891943188317899,-8.01728189787935,1.08110813446678e-15,2.36852773792764e-13,"Not Sig"
"ENSG00000238227.7",1246.12249241329,-0.744784358007159,0.0930721149655781,-8.00222879089629,1.22187081126018e-15,2.64024522970112e-13,"Not Sig"
